pseudonym,email,password,age,gender,helper,helperFrequency,mobility
bootstrap-user,bootstrap@mail.com,bootstrap-secret,42,m,white cane,rarely,minimal
bootstrap-user1,bootstrap1@mail.com,bootstrap-secret
bootstrap-user2,bootstrap2@mail.com,bootstrap-secret
bootstrap-user3,bootstrap3@mail.com,bootstrap-secret
bootstrap-user4,bootstrap4@mail.com,bootstrap-secret
bootstrap-user5,bootstrap5@mail.com,bootstrap-secret,28,f,,,minimal
bootstrap-user6,bootstrap6@mail.com,bootstrap-secret
bootstrap-user7,bootstrap7@mail.com,bootstrap-secret
bootstrap-user8,bootstrap8@mail.com,bootstrap-secret
bootstrap-user9,bootstrap9@mail.com,bootstrap-secret
bootstrap-user10,bootstrap10@mail.com,bootstrap-secret
bootstrap-user11,bootstrap11@mail.com,bootstrap-secret
bootstrap-user12,bootstrap12@mail.com,bootstrap-secret
bootstrap-user13,bootstrap13@mail.com,bootstrap-secret
bootstrap-user14,bootstrap14@mail.com,bootstrap-secret
bootstrap-user15,bootstrap15@mail.com,bootstrap-secret
bootstrap-user16,bootstrap16@mail.com,bootstrap-secret
bootstrap-user17,bootstrap17@mail.com,bootstrap-secret
bootstrap-user18,bootstrap18@mail.com,bootstrap-secret
bootstrap-user19,bootstrap19@mail.com,bootstrap-secret
